name,path,parent_dir,type,size_bytes
HEAD,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\HEAD,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs,file,1959
refs,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs,directory,3051
heads,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs\heads,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs,directory,1782
main,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs\heads\main,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs\heads,file,1782
remotes,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs\remotes,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs,directory,1269
origin,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs\remotes\origin,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs\remotes,directory,1269
main,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs\remotes\origin\main,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\logs\refs\remotes\origin,file,1269
objects,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git,directory,405838
22,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\22,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,47
212dfb39b81591361c9911b258621c8f9c8a2d,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\22\212dfb39b81591361c9911b258621c8f9c8a2d,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\22,file,47
2a,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\2a,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,172
ffe213e8575c49d97282fbdac9fbb79d5f8505,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\2a\ffe213e8575c49d97282fbdac9fbb79d5f8505,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\2a,file,172
38,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\38,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,200
